PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Ziaire Williams,MEM,20,62,41,21,1346.5,501,45.0,31.4,78.2,26,103,129,65,41,35,12,113,0,0,122,2021-22,1,0
Duane Washington Jr.,IND,22,48,12,36,968.0,473,40.5,37.7,75.4,4,79,83,85,57,26,3,66,0,0,-125,2021-22,1,0
Austin Reaves,LAL,24,61,28,33,1417.7,444,45.9,31.7,83.9,45,148,193,110,40,29,20,87,1,1,54,2021-22,1,0
Aaron Wiggins,OKC,23,50,13,37,1208.8,416,46.3,30.4,72.9,51,127,178,68,54,30,10,93,0,0,-235,2021-22,1,0
Jeremiah Robinson-Earl,OKC,21,49,15,34,1087.1,366,41.4,35.2,74.1,75,199,274,49,39,29,15,75,3,0,-238,2021-22,1,0
Trendon Watford,POR,21,48,16,32,869.3,364,53.2,23.7,75.5,57,142,199,81,44,25,28,116,2,0,-350,2021-22,1,0
Brandon Boston,LAC,20,51,26,25,760.2,343,38.5,30.6,81.9,17,94,111,51,31,26,13,43,0,0,-37,2021-22,1,0
Trey Murphy III,NOP,22,62,31,31,863.6,334,39.4,38.2,88.2,47,100,147,38,16,23,7,60,0,0,-1,2021-22,1,0
Jose Alvarado,NOP,24,54,25,29,833.9,330,44.6,29.1,67.9,25,75,100,152,40,71,7,73,1,0,143,2021-22,1,0
Terry Taylor,IND,22,33,7,26,713.8,318,61.4,31.6,70.6,95,77,172,41,23,14,8,61,2,0,-114,2021-22,1,0
Brandon Williams,POR,22,24,2,22,639.7,309,37.2,29.2,70.1,19,55,74,94,58,24,10,52,2,0,-272,2021-22,4,0
Omer Yurtseven,MIA,24,56,39,17,706.2,299,52.6,9.1,62.3,85,209,294,49,41,17,20,84,8,0,63,2021-22,1,0
Isaiah Jackson,IND,20,36,9,27,541.0,297,56.3,31.3,68.2,60,89,149,10,40,25,52,92,3,0,-39,2021-22,1,0
Joshua Primo,SAS,19,50,22,28,965.0,288,37.4,30.7,74.6,32,81,113,81,57,20,23,79,0,0,-81,2021-22,1,0
Kessler Edwards,BKN,21,48,22,26,987.2,284,41.2,35.3,84.2,44,128,172,31,42,29,24,85,1,0,-60,2021-22,1,0
Quentin Grimes,NYK,22,46,21,25,786.2,275,40.4,38.1,68.4,24,70,94,44,28,31,11,72,0,0,-54,2021-22,1,0
Keon Johnson,POR,20,37,8,29,696.2,267,35.3,34.0,80.4,24,57,81,76,46,28,12,69,0,0,-287,2021-22,1,0
Jock Landale,SAS,26,54,24,30,588.7,265,49.5,32.6,82.9,63,75,138,45,31,10,14,53,1,0,-17,2021-22,1,0
Moses Moody,GSW,20,52,35,17,607.1,228,43.7,36.4,77.8,17,63,80,23,13,7,10,43,0,0,-42,2021-22,1,0
Greg Brown III,POR,20,48,14,34,639.8,225,42.6,31.1,67.7,38,97,135,35,36,26,24,90,0,0,-241,2021-22,1,0
